no.,Type,Category,Sub-category,Particular,Actuals 2020-2021,Budget Estimates 2021-2022,Revised Estimates 2021-2022,Budget Estimates 2022-2023,Revised Estimates 2022-2023,Budget Estimates 2023-2024
0,Receipts,...,...,Total Receipts,3517024.41,3411852.78,3595812.58,3944156.94,4187232,4503097
1,Receipts,Revenue Receipts,...,Total Revenue Receipts,1633919.5,1788424.43,2078935.96,2204421.73,2348413,2632281
16,Receipts,Capital Receipts,,Total Capital Receipts,1883104.87,1623428.35,1516876.62,1739735.21,1838819,1870816
28,Expenditure,Total Budgetary Expenditure,...,Total Budgetary Expenditure,3509836,3483236,3770000,3944909,4187232,4503097
29,Expenditure,Total Budgetary Expenditure,Central Expenditure,Total Central Expenditure,2749541.05,2672603.91,2917249.12,3006111.43,3282936,3513761
33,Expenditure,Total Budgetary Expenditure,Transfers,Transfers,760295.33,810631.72,852750.61,938797.24,904296,989337
